,filename,nodes,n,c,time
0,gnp_uniform_mpg_4_1_0.edgelist.gz,4,4,1,0.0014013600011821836
1,gnp_uniform_mpg_4_1_1.edgelist.gz,4,4,1,0.0017032820032909513
2,gnp_uniform_mpg_4_1_2.edgelist.gz,4,4,1,0.0009214119927491993
3,gnp_uniform_mpg_4_1_3.edgelist.gz,4,4,1,0.00195638500736095
4,gnp_uniform_mpg_4_1_4.edgelist.gz,4,4,1,0.0014419369981624186
5,gnp_uniform_mpg_4_1_5.edgelist.gz,4,4,1,0.0009816850069910288
6,gnp_uniform_mpg_4_1_6.edgelist.gz,4,4,1,0.0008312469872180372
7,gnp_uniform_mpg_4_1_7.edgelist.gz,4,4,1,0.0013930480054114014
8,gnp_uniform_mpg_4_1_8.edgelist.gz,4,4,1,0.0010179329838138074
9,gnp_uniform_mpg_4_1_9.edgelist.gz,4,4,1,0.001050338993081823
10,gnp_uniform_mpg_4_3_0.edgelist.gz,4,4,3,0.0043010170047637075
11,gnp_uniform_mpg_4_3_1.edgelist.gz,4,4,3,0.0017162019794341177
12,gnp_uniform_mpg_4_3_2.edgelist.gz,4,4,3,0.0019649759924504906
13,gnp_uniform_mpg_4_3_3.edgelist.gz,4,4,3,0.0022804479813203216
14,gnp_uniform_mpg_4_3_4.edgelist.gz,4,4,3,0.005352612992282957
15,gnp_uniform_mpg_4_3_5.edgelist.gz,4,4,3,0.00784928901703097
16,gnp_uniform_mpg_4_3_6.edgelist.gz,4,4,3,0.001221170008648187
17,gnp_uniform_mpg_4_3_7.edgelist.gz,4,4,3,0.001995077996980399
18,gnp_uniform_mpg_4_3_8.edgelist.gz,4,4,3,0.0015172259882092476
19,gnp_uniform_mpg_4_3_9.edgelist.gz,4,4,3,0.0019523350056260824
20,gnp_uniform_mpg_4_5_0.edgelist.gz,4,4,5,0.007344757003011182
21,gnp_uniform_mpg_4_5_1.edgelist.gz,4,4,5,0.014789387001655996
22,gnp_uniform_mpg_4_5_2.edgelist.gz,4,4,5,0.0022901550109963864
23,gnp_uniform_mpg_4_5_3.edgelist.gz,4,4,5,0.0021628350077662617
24,gnp_uniform_mpg_4_5_4.edgelist.gz,4,4,5,0.0021008860203437507
25,gnp_uniform_mpg_4_5_5.edgelist.gz,4,4,5,0.0020876170019619167
26,gnp_uniform_mpg_4_5_6.edgelist.gz,4,4,5,0.0020658269932027906
27,gnp_uniform_mpg_4_5_7.edgelist.gz,4,4,5,0.009802042972296476
28,gnp_uniform_mpg_4_5_8.edgelist.gz,4,4,5,0.0020383789960760623
29,gnp_uniform_mpg_4_5_9.edgelist.gz,4,4,5,0.0077023429912514985
30,gnp_uniform_mpg_4_7_0.edgelist.gz,4,4,7,0.010971111012622714
31,gnp_uniform_mpg_4_7_1.edgelist.gz,4,4,7,0.007571041991468519
32,gnp_uniform_mpg_4_7_2.edgelist.gz,4,4,7,0.008765601989580318
33,gnp_uniform_mpg_4_7_3.edgelist.gz,4,4,7,0.0020952289924025536
34,gnp_uniform_mpg_4_7_4.edgelist.gz,4,4,7,0.007843352010240778
35,gnp_uniform_mpg_4_7_5.edgelist.gz,4,4,7,0.002078816993162036
36,gnp_uniform_mpg_4_7_6.edgelist.gz,4,4,7,0.002072321978630498
37,gnp_uniform_mpg_4_7_7.edgelist.gz,4,4,7,0.008289566001622006
38,gnp_uniform_mpg_4_7_8.edgelist.gz,4,4,7,0.008857653010636568
39,gnp_uniform_mpg_4_7_9.edgelist.gz,4,4,7,0.009615147981094196
