,N,C,time
0,1,1,0.00015544891357421875
1,3,1,0.0002067089080810547
2,5,1,0.0006940364837646484
3,7,1,0.004900693893432617
4,9,1,0.00657200813293457
5,11,1,0.07087898254394531
6,13,1,0.027399778366088867
7,15,1,0.1426551342010498
8,17,1,0.19985389709472656
9,19,1,0.9257552623748779
10,1,1,2.9325485229492188e-05
11,3,1,9.417533874511719e-05
12,5,1,0.00020384788513183594
13,7,1,0.001607656478881836
14,9,1,0.02128314971923828
15,11,1,0.04170536994934082
16,13,1,0.02582240104675293
17,15,1,0.016895055770874023
18,17,1,0.18672966957092285
19,19,1,2.263592004776001
20,1,1,3.147125244140625e-05
21,3,1,0.0001857280731201172
22,5,1,7.987022399902344e-05
23,7,1,0.0021843910217285156
24,9,1,0.007088899612426758
25,11,1,0.017667770385742188
26,13,1,0.023289918899536133
27,15,1,0.0016477108001708984
28,17,1,0.17319560050964355
29,19,1,1.48649263381958
30,1,1,3.2901763916015625e-05
31,3,1,0.00015878677368164062
32,5,1,9.179115295410156e-05
33,7,1,0.008359670639038086
34,9,1,0.0035178661346435547
35,11,1,0.017350196838378906
36,13,1,0.010170221328735352
37,15,1,0.17458486557006836
38,17,1,0.4668235778808594
39,19,1,1.982079267501831
40,1,1,3.0040740966796875e-05
41,3,1,0.0002868175506591797
42,5,1,0.0008985996246337891
43,7,1,0.0008103847503662109
44,9,1,0.0043947696685791016
45,11,1,0.003979682922363281
46,13,1,0.03565835952758789
47,15,1,0.1998429298400879
48,17,1,0.702491283416748
49,19,1,0.01156926155090332
50,1,1,2.86102294921875e-05
51,3,1,0.00017762184143066406
52,5,1,0.000156402587890625
53,7,1,0.002717256546020508
54,9,1,0.0007753372192382812
55,11,1,0.03345894813537598
56,13,1,0.09358859062194824
57,15,1,0.02758932113647461
58,17,1,0.4691605567932129
59,19,1,0.38439154624938965
60,1,1,3.123283386230469e-05
61,3,1,0.0004010200500488281
62,5,1,7.843971252441406e-05
63,7,1,0.00010347366333007812
64,9,1,0.0012423992156982422
65,11,1,0.004694461822509766
66,13,1,0.21179842948913574
67,15,1,0.6967487335205078
68,17,1,0.317523717880249
69,19,1,1.1220557689666748
70,1,1,3.0994415283203125e-05
71,3,1,0.00010228157043457031
72,5,1,0.0006513595581054688
73,7,1,0.000705718994140625
74,9,1,0.0009844303131103516
75,11,1,0.038678646087646484
76,13,1,0.007565498352050781
77,15,1,0.38101816177368164
78,17,1,0.1440112590789795
79,19,1,1.805208683013916
80,1,1,2.9325485229492188e-05
81,3,1,0.00032138824462890625
82,5,1,0.00032782554626464844
83,7,1,0.002874612808227539
84,9,1,0.009395599365234375
85,11,1,0.02411937713623047
86,13,1,0.04250049591064453
87,15,1,0.14564895629882812
88,17,1,0.13010096549987793
89,19,1,0.7882263660430908
90,1,1,2.765655517578125e-05
91,3,1,5.364418029785156e-05
92,5,1,0.0013642311096191406
93,7,1,0.0005698204040527344
94,9,1,0.005233049392700195
95,11,1,0.0025815963745117188
96,13,1,0.05105423927307129
97,15,1,0.008443593978881836
98,17,1,0.26026272773742676
99,19,1,0.13542938232421875
100,1,1,2.7179718017578125e-05
101,3,1,0.00028133392333984375
102,5,1,0.0023224353790283203
103,7,1,0.0004057884216308594
104,9,1,0.0020475387573242188
105,11,1,0.00822591781616211
106,13,1,0.02658390998840332
107,15,1,0.3557579517364502
108,17,1,0.7440173625946045
109,19,1,2.688258647918701
110,1,1,2.9325485229492188e-05
111,3,1,4.744529724121094e-05
112,5,1,0.00014066696166992188
113,7,1,0.002140045166015625
114,9,1,0.012401819229125977
115,11,1,0.010911703109741211
116,13,1,0.013590335845947266
117,15,1,0.13816046714782715
118,17,1,0.03956007957458496
119,19,1,7.508619546890259
120,1,1,3.147125244140625e-05
121,3,1,0.0002834796905517578
122,5,1,0.00036072731018066406
123,7,1,0.0019371509552001953
124,9,1,0.0077381134033203125
125,11,1,0.0034699440002441406
126,13,1,0.07484006881713867
127,15,1,0.05129194259643555
128,17,1,0.13630461692810059
129,19,1,0.43196940422058105
130,1,1,3.0279159545898438e-05
131,3,1,5.7220458984375e-05
132,5,1,0.0001556873321533203
133,7,1,0.0009601116180419922
134,9,1,0.03613400459289551
135,11,1,0.02132105827331543
136,13,1,0.01875901222229004
137,15,1,0.0680232048034668
138,17,1,0.08142352104187012
139,19,1,2.4202423095703125
140,1,1,2.956390380859375e-05
141,3,1,0.0002834796905517578
142,5,1,0.0001468658447265625
143,7,1,0.00011324882507324219
144,9,1,0.01855158805847168
145,11,1,0.005783796310424805
146,13,1,0.0003879070281982422
147,15,1,0.024679183959960938
148,17,1,0.12708091735839844
149,19,1,1.4724504947662354
150,1,1,3.147125244140625e-05
151,3,1,9.918212890625e-05
152,5,1,0.0008952617645263672
153,7,1,0.0009713172912597656
154,9,1,0.0014696121215820312
155,11,1,0.03255295753479004
156,13,1,0.05417323112487793
157,15,1,0.07083964347839355
158,17,1,0.2987995147705078
159,19,1,0.9660139083862305
160,1,1,3.24249267578125e-05
161,3,1,0.00039958953857421875
162,5,1,0.00022363662719726562
163,7,1,0.00013256072998046875
164,9,1,0.002887248992919922
165,11,1,0.003288745880126953
166,13,1,0.018152475357055664
167,15,1,0.11588883399963379
168,17,1,0.08594679832458496
169,19,1,0.2748429775238037
170,1,1,3.409385681152344e-05
