,N,P,time
0,50,0.05,0.002385377883911133
1,50,0.1,0.0022296905517578125
2,50,0.3,0.004898548126220703
3,50,0.5,0.0074040889739990234
4,50,0.7,0.010463237762451172
5,50,0.9,0.012702465057373047
6,50,1.0,0.013936281204223633
7,60,0.05,0.0022935867309570312
8,60,0.1,0.0028061866760253906
9,60,0.3,0.006829261779785156
10,60,0.5,0.010687589645385742
11,60,0.7,0.014520645141601562
12,60,0.9,0.01758265495300293
13,60,1.0,0.018901824951171875
14,70,0.05,0.0028312206268310547
15,70,0.1,0.004247426986694336
16,70,0.3,0.009357690811157227
17,70,0.5,0.014576911926269531
18,70,0.7,0.01921367645263672
19,70,0.9,0.026906490325927734
20,70,1.0,0.025635957717895508
21,80,0.05,0.0032854080200195312
22,80,0.1,0.004862546920776367
23,80,0.3,0.010811805725097656
24,80,0.5,0.018412351608276367
25,80,0.7,0.024544954299926758
26,80,0.9,0.03185224533081055
27,80,1.0,0.03383922576904297
28,90,0.05,0.003957271575927734
29,90,0.1,0.006131172180175781
30,90,0.3,0.014890909194946289
31,90,0.5,0.024125099182128906
32,90,0.7,0.031411170959472656
33,90,0.9,0.04012560844421387
34,90,1.0,0.04172658920288086
35,100,0.05,0.0043947696685791016
36,100,0.1,0.007192373275756836
37,100,0.3,0.017843246459960938
38,100,0.5,0.027984142303466797
39,100,0.7,0.03786420822143555
40,100,0.9,0.048973798751831055
41,100,1.0,0.0519261360168457
42,110,0.05,0.005413532257080078
43,110,0.1,0.009402036666870117
44,110,0.3,0.02215290069580078
45,110,0.5,0.0346531867980957
46,110,0.7,0.04552316665649414
47,110,0.9,0.057984113693237305
48,110,1.0,0.05903053283691406
49,120,0.05,0.00556635856628418
50,120,0.1,0.009285688400268555
51,120,0.3,0.02365398406982422
52,120,0.5,0.037647247314453125
53,120,0.7,0.05119490623474121
54,120,0.9,0.06853008270263672
55,120,1.0,0.0723114013671875
56,130,0.05,0.007212638854980469
57,130,0.1,0.011233806610107422
58,130,0.3,0.02914118766784668
59,130,0.5,0.045763492584228516
60,130,0.7,0.0635979175567627
61,130,0.9,0.07964110374450684
62,130,1.0,0.08172249794006348
63,140,0.05,0.007590770721435547
64,140,0.1,0.012134552001953125
65,140,0.3,0.03143024444580078
66,140,0.5,0.0507664680480957
67,140,0.7,0.07338762283325195
68,140,0.9,0.08936262130737305
69,140,1.0,0.09389758110046387
70,150,0.05,0.008288860321044922
71,150,0.1,0.013876914978027344
72,150,0.3,0.03659796714782715
73,150,0.5,0.06160163879394531
74,150,0.7,0.0881650447845459
75,150,0.9,0.11345791816711426
76,150,1.0,0.11081719398498535
77,160,0.05,0.01246500015258789
78,160,0.1,0.01918935775756836
79,160,0.3,0.045617103576660156
80,160,0.5,0.06547307968139648
81,160,0.7,0.09283089637756348
82,160,0.9,0.1195223331451416
83,160,1.0,0.1291944980621338
84,170,0.05,0.011146068572998047
85,170,0.1,0.01851511001586914
86,170,0.3,0.0485844612121582
87,170,0.5,0.07919120788574219
88,170,0.7,0.1052548885345459
89,170,0.9,0.13093185424804688
90,170,1.0,0.13859295845031738
91,180,0.05,0.010805368423461914
92,180,0.1,0.019608497619628906
93,180,0.3,0.05189824104309082
94,180,0.5,0.0848989486694336
95,180,0.7,0.12039923667907715
96,180,0.9,0.14760780334472656
97,180,1.0,0.15670323371887207
98,190,0.05,0.012289285659790039
99,190,0.1,0.0211334228515625
100,190,0.3,0.06234121322631836
101,190,0.5,0.0969092845916748
102,190,0.7,0.12723422050476074
103,190,0.9,0.15971636772155762
104,190,1.0,0.17853951454162598
105,200,0.05,0.015166282653808594
106,200,0.1,0.024068355560302734
107,200,0.3,0.06686902046203613
108,200,0.5,0.10432124137878418
109,200,0.7,0.14008617401123047
110,200,0.9,0.18031716346740723
111,200,1.0,0.19182991981506348
112,210,0.05,0.014905214309692383
113,210,0.1,0.02584242820739746
114,210,0.3,0.06862449645996094
115,210,0.5,0.11284756660461426
116,210,0.7,0.154465913772583
117,210,0.9,0.19695615768432617
118,210,1.0,0.21067523956298828
119,220,0.05,0.01584935188293457
120,220,0.1,0.028148889541625977
121,220,0.3,0.07611346244812012
122,220,0.5,0.12286734580993652
123,220,0.7,0.17264986038208008
124,220,0.9,0.22220087051391602
125,220,1.0,0.2319777011871338
126,230,0.05,0.016759157180786133
127,230,0.1,0.031723976135253906
128,230,0.3,0.08567595481872559
129,230,0.5,0.13802647590637207
130,230,0.7,0.18906283378601074
131,230,0.9,0.23828697204589844
132,230,1.0,0.25041866302490234
133,240,0.05,0.01844167709350586
134,240,0.1,0.033239126205444336
135,240,0.3,0.08984804153442383
136,240,0.5,0.14482665061950684
137,240,0.7,0.20099878311157227
138,240,0.9,0.25754547119140625
139,240,1.0,0.27014613151550293
140,250,0.05,0.020417213439941406
141,250,0.1,0.03565669059753418
142,250,0.3,0.1020658016204834
143,250,0.5,0.1587214469909668
144,250,0.7,0.21621108055114746
145,250,0.9,0.275907039642334
146,250,1.0,0.29279041290283203
147,260,0.05,0.02070450782775879
148,260,0.1,0.04099106788635254
149,260,0.3,0.10951375961303711
150,260,0.5,0.17062044143676758
151,260,0.7,0.23589587211608887
152,260,0.9,0.3074498176574707
153,260,1.0,0.3222947120666504
154,270,0.05,0.02289867401123047
155,270,0.1,0.04082465171813965
156,270,0.3,0.11360383033752441
157,270,0.5,0.1840353012084961
158,270,0.7,0.25838565826416016
159,270,0.9,0.34354090690612793
160,270,1.0,0.35095691680908203
161,280,0.05,0.024607181549072266
162,280,0.1,0.0449526309967041
163,280,0.3,0.12286639213562012
164,280,0.5,0.20416927337646484
165,280,0.7,0.28200387954711914
166,280,0.9,0.35532283782958984
167,280,1.0,0.3723320960998535
168,290,0.05,0.026907682418823242
169,290,0.1,0.04836273193359375
170,290,0.3,0.1307992935180664
171,290,0.5,0.21048569679260254
172,290,0.7,0.2902393341064453
173,290,0.9,0.37104082107543945
174,290,1.0,0.3937253952026367
175,300,0.05,0.028209447860717773
176,300,0.1,0.05188560485839844
177,300,0.3,0.14346861839294434
178,300,0.5,0.22970890998840332
179,300,0.7,0.31685686111450195
180,300,0.9,0.4071176052093506
181,300,1.0,0.4366111755371094
182,310,0.05,0.02988147735595703
183,310,0.1,0.05496096611022949
184,310,0.3,0.15390777587890625
185,310,0.5,0.24840211868286133
186,310,0.7,0.34659576416015625
187,310,0.9,0.45506882667541504
188,310,1.0,0.45382261276245117
189,320,0.05,0.030939102172851562
190,320,0.1,0.05707097053527832
191,320,0.3,0.15741801261901855
192,320,0.5,0.25603532791137695
193,320,0.7,0.35291576385498047
194,320,0.9,0.45049047470092773
195,320,1.0,0.48023319244384766
196,330,0.05,0.03409314155578613
197,330,0.1,0.06322193145751953
198,330,0.3,0.17378592491149902
199,330,0.5,0.2810032367706299
200,330,0.7,0.38398218154907227
201,330,0.9,0.4871222972869873
202,330,1.0,0.522336483001709
203,340,0.05,0.03571343421936035
204,340,0.1,0.06548142433166504
205,340,0.3,0.18183088302612305
206,340,0.5,0.3265504837036133
207,340,0.7,0.41640305519104004
208,340,0.9,0.5330092906951904
209,340,1.0,0.5848953723907471
210,350,0.05,0.03990745544433594
211,350,0.1,0.07217860221862793
212,350,0.3,0.19758057594299316
213,350,0.5,0.32068800926208496
214,350,0.7,0.47153544425964355
215,350,0.9,0.5920696258544922
216,350,1.0,0.5957350730895996
217,360,0.05,0.039542198181152344
218,360,0.1,0.07217264175415039
219,360,0.3,0.4488503932952881
220,360,0.5,0.3341391086578369
221,360,0.7,0.4653465747833252
222,360,0.9,0.5900962352752686
223,360,1.0,0.635852575302124
224,370,0.05,0.043570518493652344
225,370,0.1,0.07974863052368164
226,370,0.3,0.2179255485534668
227,370,0.5,0.36148977279663086
228,370,0.7,0.48657846450805664
229,370,0.9,0.6375348567962646
230,370,1.0,0.6869239807128906
231,380,0.05,0.044547319412231445
232,380,0.1,0.0810554027557373
233,380,0.3,0.22347164154052734
234,380,0.5,0.3676271438598633
235,380,0.7,0.5218853950500488
236,380,0.9,0.6951122283935547
237,380,1.0,0.7258901596069336
238,390,0.05,0.04962897300720215
239,390,0.1,0.08956384658813477
240,390,0.3,0.24138927459716797
241,390,0.5,0.4015028476715088
242,390,0.7,0.5428962707519531
243,390,0.9,0.7120826244354248
244,390,1.0,0.7248809337615967
245,400,0.05,0.049114227294921875
