,N,C,time
0,50,1,0.006407499313354492
1,50,3,0.006207942962646484
2,50,5,0.007913351058959961
3,50,7,0.00976252555847168
4,50,9,0.009742498397827148
5,60,1,0.007425069808959961
6,60,3,0.006350517272949219
7,60,5,0.007822036743164062
8,60,7,0.009468555450439453
9,60,9,0.0065555572509765625
10,70,1,0.002323150634765625
11,70,3,0.002297639846801758
12,70,5,0.002780437469482422
13,70,7,0.0035431385040283203
14,70,9,0.003947019577026367
15,80,1,0.0023822784423828125
16,80,3,0.0027921199798583984
17,80,5,0.003172636032104492
18,80,7,0.0038480758666992188
19,80,9,0.004588603973388672
20,90,1,0.0026574134826660156
21,90,3,0.002979755401611328
22,90,5,0.004152536392211914
23,90,7,0.004630088806152344
24,90,9,0.005257844924926758
25,100,1,0.0031287670135498047
26,100,3,0.003247499465942383
27,100,5,0.0047872066497802734
28,100,7,0.005896091461181641
29,100,9,0.007245302200317383
30,110,1,0.003504037857055664
31,110,3,0.003779888153076172
32,110,5,0.004507303237915039
33,110,7,0.0059642791748046875
34,110,9,0.006597042083740234
35,120,1,0.0036449432373046875
36,120,3,0.003949880599975586
37,120,5,0.005616188049316406
38,120,7,0.006835222244262695
39,120,9,0.007852554321289062
40,130,1,0.0049517154693603516
41,130,3,0.004669666290283203
42,130,5,0.0055370330810546875
43,130,7,0.007684230804443359
44,130,9,0.008627176284790039
45,140,1,0.004199028015136719
46,140,3,0.005256175994873047
47,140,5,0.0062313079833984375
48,140,7,0.008183479309082031
49,140,9,0.00898122787475586
50,150,1,0.005131244659423828
51,150,3,0.005485057830810547
52,150,5,0.006629467010498047
53,150,7,0.009313106536865234
54,150,9,0.00934600830078125
55,160,1,0.005366325378417969
56,160,3,0.005582571029663086
57,160,5,0.006960630416870117
58,160,7,0.008974075317382812
59,160,9,0.010145187377929688
60,170,1,0.005309581756591797
61,170,3,0.006027936935424805
62,170,5,0.007511615753173828
63,170,7,0.009653329849243164
64,170,9,0.010873556137084961
65,180,1,0.0061643123626708984
66,180,3,0.006497621536254883
67,180,5,0.0081024169921875
68,180,7,0.010360002517700195
69,180,9,0.01116800308227539
70,190,1,0.006205558776855469
71,190,3,0.006497859954833984
72,190,5,0.008199930191040039
73,190,7,0.01077723503112793
74,190,9,0.01187586784362793
75,200,1,0.0059812068939208984
76,200,3,0.006806135177612305
77,200,5,0.008945941925048828
78,200,7,0.010826349258422852
79,200,9,0.012840747833251953
80,210,1,0.006722927093505859
81,210,3,0.007210493087768555
82,210,5,0.008931636810302734
83,210,7,0.011815786361694336
84,210,9,0.01341104507446289
85,220,1,0.007149219512939453
86,220,3,0.0075588226318359375
87,220,5,0.00956416130065918
88,220,7,0.011950254440307617
89,220,9,0.014014482498168945
90,230,1,0.007314443588256836
91,230,3,0.008517026901245117
92,230,5,0.009993791580200195
93,230,7,0.012911558151245117
94,230,9,0.014744281768798828
95,240,1,0.00773167610168457
96,240,3,0.0074002742767333984
97,240,5,0.009141921997070312
98,240,7,0.011784791946411133
99,240,9,0.013599157333374023
100,250,1,0.006953239440917969
101,250,3,0.007472038269042969
102,250,5,0.009391307830810547
103,250,7,0.012032270431518555
104,250,9,0.014134883880615234
105,260,1,0.00717926025390625
106,260,3,0.007729530334472656
107,260,5,0.009752273559570312
108,260,7,0.012577056884765625
109,260,9,0.014664411544799805
110,270,1,0.007476806640625
111,270,3,0.008098125457763672
112,270,5,0.010165929794311523
113,270,7,0.013082742691040039
114,270,9,0.015163660049438477
115,280,1,0.007720470428466797
116,280,3,0.008292436599731445
117,280,5,0.010792732238769531
118,280,7,0.013969898223876953
119,280,9,0.015694141387939453
120,290,1,0.007953405380249023
121,290,3,0.008620262145996094
122,290,5,0.011028766632080078
123,290,7,0.014124870300292969
124,290,9,0.016515016555786133
125,300,1,0.008141756057739258
126,300,3,0.008958816528320312
127,300,5,0.011383056640625
128,300,7,0.014606952667236328
129,300,9,0.01876378059387207
130,310,1,0.01016688346862793
131,310,3,0.010427713394165039
132,310,5,0.01359868049621582
133,310,7,0.017807960510253906
134,310,9,0.02053093910217285
135,320,1,0.010764360427856445
136,320,3,0.011108160018920898
137,320,5,0.013697385787963867
138,320,7,0.017781734466552734
139,320,9,0.019560575485229492
140,330,1,0.009558677673339844
141,330,3,0.010474681854248047
142,330,5,0.013161897659301758
143,330,7,0.017026662826538086
144,330,9,0.019709110260009766
145,340,1,0.009697198867797852
146,340,3,0.010654449462890625
147,340,5,0.013561725616455078
148,340,7,0.01736307144165039
149,340,9,0.020092010498046875
150,350,1,0.009959697723388672
151,350,3,0.010958433151245117
152,350,5,0.013974905014038086
153,350,7,0.018170833587646484
154,350,9,0.02105116844177246
155,360,1,0.010343551635742188
156,360,3,0.011302947998046875
157,360,5,0.014541387557983398
158,360,7,0.018360376358032227
159,360,9,0.020600557327270508
160,370,1,0.010176658630371094
161,370,3,0.010993719100952148
162,370,5,0.014311790466308594
163,370,7,0.018289804458618164
164,370,9,0.02097344398498535
165,380,1,0.010385274887084961
166,380,3,0.011258602142333984
167,380,5,0.014533281326293945
168,380,7,0.01881694793701172
169,380,9,0.021863698959350586
170,390,1,0.010729789733886719
171,390,3,0.0114593505859375
172,390,5,0.015115737915039062
173,390,7,0.019094228744506836
174,390,9,0.022484302520751953
175,400,1,0.011047601699829102
176,400,3,0.011795997619628906
177,400,5,0.0153350830078125
